Problem,Schema,Sub-Category
"A car had 15 gallons of fuel. After driving for a while, 5 gallons were used. How much fuel is left?",Additive,Change
A store had 100 toys. 30 were sold. How many toys are left?,Additive,Change
A shopkeeper had 200 items. He sold 50. How many items does he have left?,Additive,Change
Tom has some candies. He gave away 25 and now has 10. How many did he start with?,Additive,Change
John had 40 candies. He gave some to his friends and now has 28 candies. How many candies did he give away?,Additive,Change
A store had 100 toys. 30 were sold. How many toys are left?,Additive,Change
"Tom's weight was 180 pounds. After a month of exercise, he lost 10 pounds. What is his new weight?",Additive,Change
"A store had 25 pens. After selling some, 15 pens are left. How many pens were sold?",Additive,Change
"A tank was filled with water. After removing 30 liters, 70 liters are left. How much water was in the tank initially?",Additive,Change
"The temperature was 72°F in the morning. By noon, it increased by 10°F. What is the temperature now?",Additive,Change
"A store had 25 pens. After selling some, 15 pens are left. How many pens were sold?",Additive,Change
Tom has some candies. He gave away 25 and now has 10. How many did he start with?,Additive,Change
Tom has some candies. He gave away 25 and now has 10. How many did he start with?,Additive,Change
John had 40 candies. He gave some to his friends and now has 28 candies. How many candies did he give away?,Additive,Change
"Tom's weight was 180 pounds. After a month of exercise, he lost 10 pounds. What is his new weight?",Additive,Change
"A car had 15 gallons of fuel. After driving for a while, 5 gallons were used. How much fuel is left?",Additive,Change
John had 40 candies. He gave some to his friends and now has 28 candies. How many candies did he give away?,Additive,Change
John had 40 candies. He gave some to his friends and now has 28 candies. How many candies did he give away?,Additive,Change
"The temperature was 72°F in the morning. By noon, it increased by 10°F. What is the temperature now?",Additive,Change
Sara had 18 flowers. She gave some away and now has 10 flowers. How many flowers did she give away?,Additive,Change
"Tom's weight was 180 pounds. After a month of exercise, he lost 10 pounds. What is his new weight?",Additive,Change
Sarah had $50. She spent $20 on groceries. How much money does she have left?,Additive,Change
John had 40 candies. He gave some to his friends and now has 28 candies. How many candies did he give away?,Additive,Change
A boy had 60 marbles. He gave away 20. How many marbles does he have left?,Additive,Change
A baker had 50 cakes. He sold 15. How many cakes does he have now?,Additive,Change
Sara had 18 flowers. She gave some away and now has 10 flowers. How many flowers did she give away?,Additive,Change
Sarah had $50. She spent $20 on groceries. How much money does she have left?,Additive,Change
A boy had 60 marbles. He gave away 20. How many marbles does he have left?,Additive,Change
"Tom's weight was 180 pounds. After a month of exercise, he lost 10 pounds. What is his new weight?",Additive,Change
"A plant was 8 inches tall. After a week, it grew 3 inches. How tall is it now?",Additive,Change
A boy had 60 marbles. He gave away 20. How many marbles does he have left?,Additive,Change
"A tank was filled with water. After removing 30 liters, 70 liters are left. How much water was in the tank initially?",Additive,Change
Sara had 18 flowers. She gave some away and now has 10 flowers. How many flowers did she give away?,Additive,Change
A store had 100 toys. 30 were sold. How many toys are left?,Additive,Change
A boy had 60 marbles. He gave away 20. How many marbles does he have left?,Additive,Change
Sam has some marbles. He gave 10 to his friend and now has 15 left. How many marbles did Sam start with?,Additive,Change
"A plant was 8 inches tall. After a week, it grew 3 inches. How tall is it now?",Additive,Change
Tom has some candies. He gave away 25 and now has 10. How many did he start with?,Additive,Change
Tom has some candies. He gave away 25 and now has 10. How many did he start with?,Additive,Change
A shopkeeper had 200 items. He sold 50. How many items does he have left?,Additive,Change
"A tank was filled with water. After removing 30 liters, 70 liters are left. How much water was in the tank initially?",Additive,Change
A boy had 60 marbles. He gave away 20. How many marbles does he have left?,Additive,Change
A boy had 60 marbles. He gave away 20. How many marbles does he have left?,Additive,Change
A shopkeeper had 200 items. He sold 50. How many items does he have left?,Additive,Change
A baker had 50 cakes. He sold 15. How many cakes does he have now?,Additive,Change
A baker had 50 cakes. He sold 15. How many cakes does he have now?,Additive,Change
A shopkeeper had 200 items. He sold 50. How many items does he have left?,Additive,Change
A baker had 50 cakes. He sold 15. How many cakes does he have now?,Additive,Change
"The temperature was 72°F in the morning. By noon, it increased by 10°F. What is the temperature now?",Additive,Change
A boy had 60 marbles. He gave away 20. How many marbles does he have left?,Additive,Change
"A store had 25 pens. After selling some, 15 pens are left. How many pens were sold?",Additive,Change
"A car had 15 gallons of fuel. After driving for a while, 5 gallons were used. How much fuel is left?",Additive,Change
Sam has some marbles. He gave 10 to his friend and now has 15 left. How many marbles did Sam start with?,Additive,Change
"The temperature was 72°F in the morning. By noon, it increased by 10°F. What is the temperature now?",Additive,Change
"Tom's weight was 180 pounds. After a month of exercise, he lost 10 pounds. What is his new weight?",Additive,Change
"The temperature was 72°F in the morning. By noon, it increased by 10°F. What is the temperature now?",Additive,Change
"A store had 25 pens. After selling some, 15 pens are left. How many pens were sold?",Additive,Change
"Tom's weight was 180 pounds. After a month of exercise, he lost 10 pounds. What is his new weight?",Additive,Change
Sam has some marbles. He gave 10 to his friend and now has 15 left. How many marbles did Sam start with?,Additive,Change
